modelo,harness,tarea,stack,tipo,build_ok_auto,test_ok_auto,fair_status,fair_included,automatic_source,fair_notes,archivo_respuesta,eje1_correctitud,eje2_calidad,eje3_seguridad,eje4_instrucciones,eje5_esfuerzo,comentarios
Modelo A,hermes,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_A__hermes__bug1-petvalidator.txt,,,,,,
Modelo B,hermes,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_B__hermes__bug1-petvalidator.txt,,,,,,
Modelo C,hermes,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_C__hermes__bug1-petvalidator.txt,,,,,,
Modelo A,omp,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_A__omp__bug1-petvalidator.txt,,,,,,
Modelo B,omp,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_B__omp__bug1-petvalidator.txt,,,,,,
Modelo C,omp,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_C__omp__bug1-petvalidator.txt,,,,,,
Modelo A,opencode,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_A__opencode__bug1-petvalidator.txt,,,,,,
Modelo B,opencode,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_B__opencode__bug1-petvalidator.txt,,,,,,
Modelo C,opencode,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_C__opencode__bug1-petvalidator.txt,,,,,,
Modelo A,raw_api,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_A__raw_api__bug1-petvalidator.txt,,,,,,
Modelo B,raw_api,bug1-petvalidator,Spring Boot,Bug-fix,True,True,posthoc_rescore_pass,True,results/full_combined_v3/metrics_fair.csv,rescored locally from saved transcript; workdir=results/full_combined_v3/_rescore_workdirs/raw_api__bug1-petvalidator__minimax_minimax-m3__r1,human_review/respuestas_ciegas/springboot/Modelo_B__raw_api__bug1-petvalidator.txt,,,,,,
Modelo C,raw_api,bug1-petvalidator,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_C__raw_api__bug1-petvalidator.txt,,,,,,
Modelo A,hermes,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_A__hermes__bug2-ownercontroller.txt,,,,,,
Modelo B,hermes,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_B__hermes__bug2-ownercontroller.txt,,,,,,
Modelo C,hermes,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_C__hermes__bug2-ownercontroller.txt,,,,,,
Modelo A,omp,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_A__omp__bug2-ownercontroller.txt,,,,,,
Modelo B,omp,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_B__omp__bug2-ownercontroller.txt,,,,,,
Modelo C,omp,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_C__omp__bug2-ownercontroller.txt,,,,,,
Modelo A,opencode,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_A__opencode__bug2-ownercontroller.txt,,,,,,
Modelo B,opencode,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_B__opencode__bug2-ownercontroller.txt,,,,,,
Modelo C,opencode,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_C__opencode__bug2-ownercontroller.txt,,,,,,
Modelo A,raw_api,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_A__raw_api__bug2-ownercontroller.txt,,,,,,
Modelo B,raw_api,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_B__raw_api__bug2-ownercontroller.txt,,,,,,
Modelo C,raw_api,bug2-ownercontroller,Spring Boot,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_C__raw_api__bug2-ownercontroller.txt,,,,,,
Modelo A,hermes,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_A__hermes__data-bug1-sales-genre.txt,,,,,,
Modelo B,hermes,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_B__hermes__data-bug1-sales-genre.txt,,,,,,
Modelo C,hermes,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_C__hermes__data-bug1-sales-genre.txt,,,,,,
Modelo A,omp,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_A__omp__data-bug1-sales-genre.txt,,,,,,
Modelo B,omp,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_B__omp__data-bug1-sales-genre.txt,,,,,,
Modelo C,omp,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_C__omp__data-bug1-sales-genre.txt,,,,,,
Modelo A,opencode,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_A__opencode__data-bug1-sales-genre.txt,,,,,,
Modelo B,opencode,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_B__opencode__data-bug1-sales-genre.txt,,,,,,
Modelo C,opencode,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_C__opencode__data-bug1-sales-genre.txt,,,,,,
