harness,task,model,run,capability_mode,telemetry_trust,tool_set,build_ok,test_ok,in_tok,out_tok,cost_usd,model_calls,telemetry_note,latency_s,workdir,transcript_path,error
raw_api,ng-bug1-missing-input,minimax/minimax-m3,1,single_shot,exact,,True,True,1208,1064,0.0016,1,legacy raw_api row; one OpenRouter request,15.4,results\ng-bug1-missing-input__minimax_minimax-m3__r1,results\ng-bug1-missing-input__minimax_minimax-m3__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,minimax/minimax-m3,1,single_shot,exact,,True,True,1208,1105,0.0017,1,legacy raw_api row; one OpenRouter request,15.0,results\ng-bug1-missing-input__minimax_minimax-m3__r1,results\ng-bug1-missing-input__minimax_minimax-m3__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,minimax/minimax-m3,2,single_shot,exact,,True,True,1208,1086,0.0017,1,legacy raw_api row; one OpenRouter request,14.9,results\ng-bug1-missing-input__minimax_minimax-m3__r2,results\ng-bug1-missing-input__minimax_minimax-m3__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,deepseek/deepseek-v4-flash,1,single_shot,exact,,True,True,1070,1126,0.0003,1,legacy raw_api row; one OpenRouter request,10.9,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r1,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,deepseek/deepseek-v4-flash,2,single_shot,exact,,True,True,1070,1096,0.0003,1,legacy raw_api row; one OpenRouter request,9.3,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r2,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,deepseek/deepseek-v4-flash,3,single_shot,exact,,True,True,1070,983,0.0003,1,legacy raw_api row; one OpenRouter request,9.7,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r3,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r3/_raw_response.txt,
raw_api,ng-bug1-missing-input,z-ai/glm-4.7,1,single_shot,exact,,True,True,999,1484,0.003,1,legacy raw_api row; one OpenRouter request,31.0,results\ng-bug1-missing-input__z-ai_glm-4.7__r1,results\ng-bug1-missing-input__z-ai_glm-4.7__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,z-ai/glm-4.7,2,single_shot,exact,,True,True,999,1521,0.0031,1,legacy raw_api row; one OpenRouter request,23.4,results\ng-bug1-missing-input__z-ai_glm-4.7__r2,results\ng-bug1-missing-input__z-ai_glm-4.7__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,z-ai/glm-4.7,3,single_shot,exact,,True,True,999,2353,0.0045,1,legacy raw_api row; one OpenRouter request,84.2,results\ng-bug1-missing-input__z-ai_glm-4.7__r3,results\ng-bug1-missing-input__z-ai_glm-4.7__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,minimax/minimax-m3,1,single_shot,exact,,True,True,683,452,0.0007,1,legacy raw_api row; one OpenRouter request,4.5,results\ng-feat1-reading-time__minimax_minimax-m3__r1,results\ng-feat1-reading-time__minimax_minimax-m3__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,minimax/minimax-m3,2,single_shot,exact,,True,True,696,2306,0.003,1,legacy raw_api row; one OpenRouter request,22.7,results\ng-feat1-reading-time__minimax_minimax-m3__r2,results\ng-feat1-reading-time__minimax_minimax-m3__r2/_raw_response.txt,
raw_api,ng-feat1-reading-time,minimax/minimax-m3,3,single_shot,exact,,True,True,696,4227,0.0053,1,legacy raw_api row; one OpenRouter request,48.4,results\ng-feat1-reading-time__minimax_minimax-m3__r3,results\ng-feat1-reading-time__minimax_minimax-m3__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,deepseek/deepseek-v4-flash,1,single_shot,exact,,True,True,539,956,0.0002,1,legacy raw_api row; one OpenRouter request,8.9,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r1,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,deepseek/deepseek-v4-flash,2,single_shot,exact,,True,True,539,949,0.0002,1,legacy raw_api row; one OpenRouter request,54.2,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r2,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r2/_raw_response.txt,
raw_api,ng-feat1-reading-time,deepseek/deepseek-v4-flash,3,single_shot,exact,,True,True,539,904,0.0002,1,legacy raw_api row; one OpenRouter request,8.8,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r3,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,z-ai/glm-4.7,1,single_shot,exact,,True,True,511,2422,0.0044,1,legacy raw_api row; one OpenRouter request,18.5,results\ng-feat1-reading-time__z-ai_glm-4.7__r1,results\ng-feat1-reading-time__z-ai_glm-4.7__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,z-ai/glm-4.7,2,single_shot,exact,,True,True,511,2231,0.0041,1,legacy raw_api row; one OpenRouter request,33.6,results\ng-feat1-reading-time__z-ai_glm-4.7__r2,results\ng-feat1-reading-time__z-ai_glm-4.7__r2/_raw_response.txt,
raw_api,ng-feat1-reading-time,z-ai/glm-4.7,3,single_shot,exact,,True,True,511,1818,0.0034,1,legacy raw_api row; one OpenRouter request,27.3,results\ng-feat1-reading-time__z-ai_glm-4.7__r3,results\ng-feat1-reading-time__z-ai_glm-4.7__r3/_raw_response.txt,
raw_api,ng-feat2-service-search,minimax/minimax-m3,1,single_shot,exact,,True,True,854,924,0.0014,1,legacy raw_api row; one OpenRouter request,13.1,results\ng-feat2-service-search__minimax_minimax-m3__r1,results\ng-feat2-service-search__minimax_minimax-m3__r1/_raw_response.txt,
raw_api,ng-feat2-service-search,minimax/minimax-m3,2,single_shot,exact,,True,True,854,929,0.0014,1,legacy raw_api row; one OpenRouter request,12.9,results\ng-feat2-service-search__minimax_minimax-m3__r2,results\ng-feat2-service-search__minimax_minimax-m3__r2/_raw_response.txt,
raw_api,ng-feat2-service-search,minimax/minimax-m3,3,single_shot,exact,,True,True,854,1040,0.0015,1,legacy raw_api row; one OpenRouter request,13.5,results\ng-feat2-service-search__minimax_minimax-m3__r3,results\ng-feat2-service-search__minimax_minimax-m3__r3/_raw_response.txt,
raw_api,ng-feat2-service-search,deepseek/deepseek-v4-flash,1,single_shot,exact,,True,True,690,970,0.0002,1,legacy raw_api row; one OpenRouter request,8.3,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r1,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r1/_raw_response.txt,
raw_api,ng-feat2-service-search,deepseek/deepseek-v4-flash,2,single_shot,exact,,True,True,690,863,0.0002,1,legacy raw_api row; one OpenRouter request,9.0,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r2,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r2/_raw_response.txt,
raw_api,ng-feat2-service-search,deepseek/deepseek-v4-flash,3,single_shot,exact,,True,True,690,846,0.0002,1,legacy raw_api row; one OpenRouter request,8.3,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r3,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r3/_raw_response.txt,
raw_api,ng-feat2-service-search,z-ai/glm-4.7,1,single_shot,exact,,True,True,632,2135,0.004,1,legacy raw_api row; one OpenRouter request,54.6,results\ng-feat2-service-search__z-ai_glm-4.7__r1,results\ng-feat2-service-search__z-ai_glm-4.7__r1/_raw_response.txt,
raw_api,ng-feat2-service-search,z-ai/glm-4.7,2,single_shot,exact,,True,True,632,2071,0.0039,1,legacy raw_api row; one OpenRouter request,30.3,results\ng-feat2-service-search__z-ai_glm-4.7__r2,results\ng-feat2-service-search__z-ai_glm-4.7__r2/_raw_response.txt,
raw_api,ng-feat2-service-search,z-ai/glm-4.7,3,single_shot,exact,,True,True,632,2125,0.004,1,legacy raw_api row; one OpenRouter request,29.8,results\ng-feat2-service-search__z-ai_glm-4.7__r3,results\ng-feat2-service-search__z-ai_glm-4.7__r3/_raw_response.txt,
raw_api,ng-bug1-missing-input,qwen/qwen3.7-plus,1,single_shot,exact,,True,True,1125,2353,0.0034,1,legacy raw_api row; one OpenRouter request,44.7,results\ng-bug1-missing-input__qwen_qwen3.7-plus__r1,results\ng-bug1-missing-input__qwen_qwen3.7-plus__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,qwen/qwen3.7-plus,2,single_shot,exact,,True,True,1125,1334,0.0021,1,legacy raw_api row; one OpenRouter request,26.1,results\ng-bug1-missing-input__qwen_qwen3.7-plus__r2,results\ng-bug1-missing-input__qwen_qwen3.7-plus__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,qwen/qwen3.7-plus,3,single_shot,exact,,True,True,1125,2351,0.0034,1,legacy raw_api row; one OpenRouter request,44.2,results\ng-bug1-missing-input__qwen_qwen3.7-plus__r3,results\ng-bug1-missing-input__qwen_qwen3.7-plus__r3/_raw_response.txt,
raw_api,ng-bug1-missing-input,google/gemini-3.1-flash-lite,1,single_shot,exact,,True,True,1215,1132,0.002,1,legacy raw_api row; one OpenRouter request,4.2,results\ng-bug1-missing-input__google_gemini-3.1-flash-lite__r1,results\ng-bug1-missing-input__google_gemini-3.1-flash-lite__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,google/gemini-3.1-flash-lite,2,single_shot,exact,,True,True,1215,1132,0.002,1,legacy raw_api row; one OpenRouter request,4.2,results\ng-bug1-missing-input__google_gemini-3.1-flash-lite__r2,results\ng-bug1-missing-input__google_gemini-3.1-flash-lite__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,google/gemini-3.1-flash-lite,3,single_shot,exact,,True,True,1214,1132,0.002,1,legacy raw_api row; one OpenRouter request,4.6,results\ng-bug1-missing-input__google_gemini-3.1-flash-lite__r3,results\ng-bug1-missing-input__google_gemini-3.1-flash-lite__r3/_raw_response.txt,
raw_api,ng-bug1-missing-input,qwen/qwen3-coder-next,1,single_shot,exact,,True,True,1002,914,0.0008,1,legacy raw_api row; one OpenRouter request,5.0,results\ng-bug1-missing-input__qwen_qwen3-coder-next__r1,results\ng-bug1-missing-input__qwen_qwen3-coder-next__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,qwen/qwen3-coder-next,2,single_shot,exact,,True,True,1002,914,0.0008,1,legacy raw_api row; one OpenRouter request,24.0,results\ng-bug1-missing-input__qwen_qwen3-coder-next__r2,results\ng-bug1-missing-input__qwen_qwen3-coder-next__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,qwen/qwen3-coder-next,3,single_shot,exact,,True,True,1002,914,0.0008,1,legacy raw_api row; one OpenRouter request,5.0,results\ng-bug1-missing-input__qwen_qwen3-coder-next__r3,results\ng-bug1-missing-input__qwen_qwen3-coder-next__r3/_raw_response.txt,
raw_api,ng-bug1-missing-input,tencent/hy3-preview,1,single_shot,exact,,True,True,1069,1277,0.0004,1,legacy raw_api row; one OpenRouter request,24.2,results\ng-bug1-missing-input__tencent_hy3-preview__r1,results\ng-bug1-missing-input__tencent_hy3-preview__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,tencent/hy3-preview,2,single_shot,exact,,True,True,1069,1492,0.0005,1,legacy raw_api row; one OpenRouter request,14.5,results\ng-bug1-missing-input__tencent_hy3-preview__r2,results\ng-bug1-missing-input__tencent_hy3-preview__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,tencent/hy3-preview,3,single_shot,exact,,True,True,1069,1401,0.0004,1,legacy raw_api row; one OpenRouter request,25.2,results\ng-bug1-missing-input__tencent_hy3-preview__r3,results\ng-bug1-missing-input__tencent_hy3-preview__r3/_raw_response.txt,
