harness,task,model,run,build_ok,test_ok,in_tok,out_tok,cost_usd,model_calls,telemetry_note,latency_s,workdir,transcript_path,error
omp,bug1-petvalidator,Modelo F,1,True,True,61731,389,0.088135,5,omp: 5 usage record(s); cost_from_cli,26.3,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.1__r1,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.1__r1/_raw_response.txt,
omp,bug1-petvalidator,Modelo F,2,True,True,48794,276,0.069526,4,omp: 4 usage record(s); cost_from_cli,27.7,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.1__r2,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.1__r2/_raw_response.txt,
omp,bug1-petvalidator,Modelo F,3,True,True,49168,302,0.070164,4,omp: 4 usage record(s); cost_from_cli,34.8,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.1__r3,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.1__r3/_raw_response.txt,
omp,bug1-petvalidator,Modelo D,1,True,True,12486,304,0.028264,4,omp: 4 usage record(s); cost_from_cli,18.4,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.2__r1,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.2__r1/_raw_response.txt,
omp,bug1-petvalidator,Modelo D,2,True,True,2096,310,0.016451,4,omp: 4 usage record(s); cost_from_cli,17.8,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.2__r2,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.2__r2/_raw_response.txt,
omp,bug1-petvalidator,Modelo D,3,True,True,2286,294,0.016705,4,omp: 4 usage record(s); cost_from_cli,29.6,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.2__r3,/Users/mihai/code/nter/model-benchmarking/results/omp__bug1-petvalidator__opencode-go_glm-5.2__r3/_raw_response.txt,
opencode,bug1-petvalidator,Modelo K,1,True,True,25699,462,0.003996,4,opencode: 4 usage record(s); cost_from_cli,20.2,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug1-petvalidator__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug1-petvalidator__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
opencode,bug1-petvalidator,Modelo K,2,True,True,25589,443,0.003999,4,opencode: 4 usage record(s); cost_from_cli,20.3,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug1-petvalidator__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug1-petvalidator__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,bug1-petvalidator,Modelo K,3,True,True,25633,427,0.003971,4,opencode: 4 usage record(s); cost_from_cli,18.5,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug1-petvalidator__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug1-petvalidator__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
opencode,bug2-ownercontroller,Modelo K,1,True,True,26983,449,0.004173,4,opencode: 4 usage record(s); cost_from_cli,19.0,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug2-ownercontroller__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug2-ownercontroller__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
